17J620933||0040 /      -  0120 /|110
17J610549||0040 /      -  0120 /|110
17J611902||IRR/ 0069 -  0121 / 0135|110
17J611913||0040 /      -  0135 /|910
18J640723||0046 / 0053 -  0125 / 0122|110
17J630020||0060 /      -  0110 /|110
17J610165||0030 / 0030 -  0132 / 0132|110
17J310337||0067 / 0067 -  0120 / 0120|641
17J332085|0.09|0030 / 0030 -  0133 / 0133|910
17J610495||0050 / 0052 -  0107 /|110
17J331028||0036 /      -  0132 /|910
17J611858||0044 / 0044 -  0129 / 0129|110
17J520097||0038 /      -  0120 /|110
17J520976||0050 /      -  0129 /|110
17J240487||0060 / 0060 -  0123 / 0123|110
17J540743||0050 /      -  0102 /|110
17J540369||/ 0050 -  0100 /|110
17J540787||0050 /      -  0102 /|110
17J211414||0041 / 0041 -  0123 / 0123|910
17J210446||0087 / 0011 -  0126 / 0100|115
17J141731||0002 / 0002 -  0110 / 0110|910
17J430062||0100 /      -  0158 /|110
16J111137||0040 / 0040 -  0160 / 0160|110
16J110703||0048 / 0048 -  0160 / 0160|910
16J111247||0050 /      -  0160 /|110
17J430787||0058 /      -  0088 /|110
18J432108||0143 /PNT-IRR/ 0105|110
17J430820||0058 /      -  0088 /|110
16J130761||0041 /      -  0160 /|910
17K320193||0053 / 0053 -  0150 / 0150|110
17K320203||0100 / 0105 -  0182 /IRR|910
17K640776||0040 /      -  0130 /|110
16K320169||0050 /      -  0119 /|110
16K320389||0050 /      -  0109 /|110
17K620284||0050 /      -  0105 /|110
17K620338||0050 /      -  0105 /|910
17K310325||0060 /      -  0140 /|110
17K330741||0050 /      -  0120 /|110
17K330905||0050 /      -  0100 /|110
17K331247||0078 / 0125 -  0050 / 0141|110
16K331026||0054 / 0088 -  0165 / 0137|110
16K220603||0031 /IRR-  0157 / 0135|110
18K541117||0057 /      -  0130 /|110
16K220731||0031 / 0124 -  0139 / 0157|110
16K221554||0034 /IRR-  0110 / 0118|110
16K220267||0050 /      -  0125 /|110
16J410195||0075 /      -  0160 /|506
16K221093||0050 /      -  0120 /|110
16J410041||0050 /      -  0194 /|910
16K230080||0050 /      -  0109 / 0108|110
17K530912||0060 / 0060 -  0112 / 0110|110
16K620304|0.18|0050 / 0050 -  0156 / 0156|910
17K221171||0075 /      -  0114 /|110
22P620544|||603
22P220704|0.24|0089 / 0091 -    0117 / 0118|910
19N520226||0162 / 0168 -  0266 / 0264|110
19N330344||0061 / 0059 -  0015 / 0015|910
21O540152|0.06|0140 / 0140 -  0024 / 0014|910
19M410458||0025 / 0025 -  0100 / 0100|910
18L640912||0059 /IRR-  0108 /|110
15M321068|0.05|0027 / 0040 -  0055 /IRR|460
16L320872|0.14|0050 / 0050 -  0123 / 0123|110
16M330078|0.09|0108 /      -  0035 /|910
16M330188|0.32|0108 /      -  0130 /|601
16L110354||0092 / 0132 -  0198 / 0208|110
17K531294||0035 /      -  0161 /|110
16L140533||0055 /IRR-  0115 / 0143|110
16K122389|0.13|0042 / 0042 -  0130 / 0130|110
16K121014||0050 / 0024 -  0175 /|110
16K210602||0035 /      -  0153 /|110
16L420554||0065 /      -  0100 /|110
16L510512||0065 /      -  0094 / 0095|110
16K110773||0035 /      -  0130 /|110
16L420752|0.16|0070 / 0070 -  0100 / 0100|110
16K140264||0050 /      -  0175 /|110
16K130474|0.15|0035 / 0067 -  0130 / 0134|110
16K230651||0050 /      -  0120 /|110
17M320180||0115 / 0188 -  0144 / 0169|110
17L110621||0002 / 0002 -  0085 / 0085|910
16M320552||0114 /      -  0177 /|110
17L610954||0100 / 0100 -  0190 / 0190|110
17L340024||0050 / 0050 -  0125 / 0125|115
16K230794||0050 / 0050 -  0125 / 0125|110
18K531305|0.33|0095 / 0093 -  0169 / 0141|110
16K230695||0050 /      -  0125 /|110
16K211821||0030 /      -  0120 /|110
17K531139||0070 /      -  0120 /|110
16K121951||0052 /      -  0120 /|110
16K120833||0035 /      -  0175 /|110
16K120301||0045 /      -  0110 /|110
16K120651||0042 /      -  0110 /|910
17K441270||0035 /      -  0120 /|110
16K121971||0058 /      -  0175 /|110
16K142057|0.10|0035 / 0035 -    0120 / 0120|110
16K140671|||110
16K130210||0035 /      -  0120 /|110
16K130122||0035 /      -  0120 /|110
16K120453||0035 /      -  0146 /|110
16K130111||0035 / 0035 -  0120 / 0120|110
17K130723|||110
17K410216||0065 /      -  0120 /|110
17M340531|||110
17K140199||0069 / 0064 -  0113 / 0101|110
16L210168||0125 / 0125 -  0130 / 0130|110
16L620095||0050 / 0051 -  0130 / 0119|110
16L130101|0.36|0136 / 0125 -  0115 / 0123|110
16L510293||0080 /      -  0100 /|110
16L510303||0060 / 0061 -  0100 /|110
17M340562|0.21|0102 / 0102 -  0091 / 0091|910
16M620247||0067 / 0082 -  0182 / 0180|110
17H430021||0043 / 0040 -  0112 /|110
17H430142||0040 /      -  0112 /|110
16J220147||0030 /      -  0130 /|110
17J620955||0060 / 0060 -  0140 / 0140|110
16J310183||0045 / 0045 -  0130 / 0130|110
17H510068||/ 0025 -  0110 /|110
17J640557||0050 /      -  0125 /|110
17H420066||0050 /      -  0125 /|110
17H430414||0040 /      -  0106 /|110
